<http://www.wikidata.org/entity/Q59389078> <http://www.wikidata.org/prop/direct/P625> "Point(10.296036944444 48.510676111111)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59389087> <http://www.wikidata.org/prop/direct/P625> "Point(11.5328538805 50.0965540797)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59389092> <http://www.wikidata.org/prop/direct/P625> "Point(11.3674173671 49.9258860744)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59389613> <http://www.wikidata.org/prop/direct/P625> "Point(72.851666666667 20.434166666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59390356> <http://www.wikidata.org/prop/direct/P625> "Point(13.5089537596 48.8550925825)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59390362> <http://www.wikidata.org/prop/direct/P625> "Point(9.18045862508 49.9142563491)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59390386> <http://www.wikidata.org/prop/direct/P625> "Point(10.8038147768 50.2930376611)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59390411> <http://www.wikidata.org/prop/direct/P625> "Point(11.1801641708 50.2652019125)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393302> <http://www.wikidata.org/prop/direct/P625> "Point(12.642973 51.318355)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393372> <http://www.wikidata.org/prop/direct/P625> "Point(13.280098055556 48.866803888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393373> <http://www.wikidata.org/prop/direct/P625> "Point(9.9955619444444 49.76027)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393375> <http://www.wikidata.org/prop/direct/P625> "Point(10.245385 49.761456111111)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393378> <http://www.wikidata.org/prop/direct/P625> "Point(10.5925175441 49.094234679)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393393> <http://www.wikidata.org/prop/direct/P625> "Point(13.1402362953 48.9514064589)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393399> <http://www.wikidata.org/prop/direct/P625> "Point(10.5480487761 49.0233141006)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
